id,ORF,pathway
integer,varchar,varchar
primary key,foreign key,
241,YLR355C,sce01110
242,YPL273W,sce00270
243,YAL024C,sce04111
244,YJL221C,sce00052
245,YML016C,sce03015
246,YLR180W,sce00999
247,YMR322C,sce00620
248,YOR373W,sce04392
249,YBR026C,sce00061
250,YLR459W,sce00563
251,YHR123W,sce00440
252,YGR255C,sce01110
253,YBL026W,sce03040
254,YOR249C,sce04111
255,YDR516C,sce00051
256,YDR171W,sce04141
257,YPL028W,sce00310
258,YPL281C,sce01110
259,YMR125W,sce03040
260,YOR195W,sce04111
261,YLL041C,sce00020
262,YKL012W,sce03040
263,YNCD0031C,sce00970
264,YAR071W,sce00730
265,YNCP0006C,sce00970
266,YNR050C,sce01110
267,YNCO0019W,sce00970
268,YMR267W,sce00190
269,YDL166C,sce01232
270,YFR055W,sce00270
271,YMR217W,sce01232
272,YBR088C,sce03420
273,YHR018C,sce01230
274,YPR001W,sce00630
275,YLR027C,sce00220
276,YMR001C,sce04113
277,YOL027C,sce04139
278,YNR006W,sce04144
279,YMR301C,sce02010
280,YDL164C,sce03030
281,YNL209W,sce04141
282,YGR255C,sce01240
283,YGL234W,sce01110
284,YNCL0021C,sce03010
285,YPL089C,sce04011
286,YNCE0009C,sce00970
287,YER173W,sce04113
288,YHR072W,sce00100
289,YBR278W,sce03420
290,YNCM0019W,sce00970
291,YJL157C,sce04011
292,YNR008W,sce00561
293,YMR230W,sce03010
294,YFR036W,sce04120
295,YLR423C,sce04138
296,YNL001W,sce03015
297,YIL159W,sce04011
298,YDR502C,sce01110
299,YKL194C,sce00970
300,YGR072W,sce03013
301,YMR205C,sce00052
302,YOR074C,sce00670
303,YPR162C,sce04111
304,YPR120C,sce04113
305,YGL180W,sce04138
306,YDR398W,sce03008
307,YOR250C,sce03015
308,YOL061W,sce01110
309,YKL203C,sce04138
310,YJR073C,sce00564
311,YPL061W,sce01240
312,YLR304C,sce00020
313,YOR388C,sce00680
314,YCR093W,sce03018
